id,name,type,parentId
1,China,1,0
2,Mongolia,1,0
3,North Korea,1,0
4,South Korea,1,0
5,Japan,1,0
6,Philippines,1,0
7,Vietnam,1,0
8,Laos,1,0
9,Cambodia,1,0
10,Myanmar,1,0
11,Thailand,1,0
12,Malaysia,1,0
13,Brunei,1,0
14,Singapore,1,0
15,Indonesia,1,0
16,East Timor,1,0
17,Nepal,1,0
18,Bhutan,1,0
19,Bangladesh,1,0
20,India,1,0
21,Pakistan,1,0
22,Sri Lanka,1,0
23,Maldives,1,0
24,Kazakhstan,1,0
25,Kyrgyzstan,1,0
26,Tajikistan,1,0
27,Uzbekistan,1,0
28,Turkmenistan,1,0
29,Afghanistan,1,0
30,Iraq,1,0
31,Iran,1,0
32,Syria,1,0
33,Jordan,1,0
34,Lebanon,1,0
35,Israel,1,0
36,Palestine,1,0
37,Saudi Arabia,1,0
38,Bahrain,1,0
39,Qatar,1,0
40,Kuwait,1,0
41,United Arab Emirates,1,0
42,Oman,1,0
43,Yemen,1,0
44,Georgia,1,0
45,Armenia,1,0
46,Azerbaijan,1,0
47,Turkey,1,0
48,Cyprus,1,0
49,Finland,1,0
50,Sweden,1,0
51,Norway,1,0
52,Iceland,1,0
53,Denmark,1,0
54,Estonia,1,0
55,Latvia,1,0
56,Lithuania,1,0
57,Belarus,1,0
58,Russia,1,0
59,Ukraine,1,0
60,Moldova,1,0
61,Poland,1,0
62,Czech Republic,1,0
63,Slovakia,1,0
64,Hungary,1,0
65,Germany,1,0
66,Austria,1,0
67,Switzerland,1,0
68,Liechtenstein,1,0
69,United Kingdom,1,0
70,Ireland,1,0
71,Netherlands,1,0
72,Belgium,1,0
73,Luxembourg,1,0
74,France,1,0
75,Monaco,1,0
76,Romania,1,0
77,Bulgaria,1,0
78,Serbia,1,0
79,Macedonia,1,0
80,Albania,1,0
81,Greece,1,0
82,Slovenia,1,0
83,Croatia,1,0
84,Bosnia and Herzegovina,1,0
85,Italy,1,0
86,Vatican,1,0
87,San Marino,1,0
88,Malta,1,0
89,Spain,1,0
90,Portugal,1,0
91,Andorra,1,0
92,Egypt,1,0
93,Libya,1,0
94,Sudan,1,0
95,Tunisia,1,0
96,Algeria,1,0
97,Morocco,1,0
98,Azores,1,0
99,Madeira Islands,1,0
100,Ethiopia,1,0
101,Eritrea,1,0
102,Somalia,1,0
103,Djibouti,1,0
104,Kenya,1,0
105,Tanzania,1,0
106,Uganda,1,0
107,Rwanda,1,0
108,Burundi,1,0
109,Seychelles,1,0
110,Sao Tome and Principe,1,0
111,Senegal,1,0
112,Gambia,1,0
113,Mali,1,0
114,Burkina Faso,1,0
115,Guinea,1,0
116,Guinea-Bissau,1,0
117,Cape Verde,1,0
118,Sierra Leone,1,0
119,Liberia,1,0
120,Cote d'Ivoire,1,0
121,Ghana,1,0
122,Togo,1,0
123,Benin,1,0
124,Niger,1,0
125,Canary Islands,1,0
126,Zambia,1,0
127,Angola,1,0
128,Zimbabwe,1,0
129,Malawi,1,0
130,Mozambique,1,0
131,Botswana,1,0
132,Namibia,1,0
133,South Africa,1,0
134,Swaziland,1,0
135,Lesotho,1,0
136,Madagascar,1,0
137,Comoros,1,0
138,Mauritius,1,0
139,Reunion,1,0
140,Saint Helena,1,0
141,Australia,1,0
142,New Zealand,1,0
143,Papua New Guinea,1,0
144,Solomon Islands,1,0
145,Republic of Vanuatu,1,0
146,Micronesia,1,0
147,Marshall Islands,1,0
148,Palau,1,0
149,Nauru,1,0
150,Kiribati,1,0
151,Tuvalu,1,0
152,Samoa,1,0
153,Fiji,1,0
154,Tonga,1,0
155,Cook Islands,1,0
156,Guam,1,0
157,New Caledonia,1,0
158,French Polynesia,1,0
159,Pitcairn Island,1,0
160,Wallis and Futuna,1,0
161,Niue,1,0
162,Tokelau,1,0
163,American Samoa,1,0
164,Northern Marianas,1,0
165,Canada,1,0
166,United States,1,0
167,Mexico,1,0
168,Greenland,1,0
169,Guatemala,1,0
170,Belize,1,0
171,El Salvador,1,0
172,Honduras,1,0
173,Nicaragua,1,0
174,Costa Rica,1,0
175,Panama,1,0
176,Bahamas,1,0
177,Cuba,1,0
178,Jamaica,1,0
179,Haiti,1,0
180,Dominican Republic,1,0
181,Antigua and Barbuda,1,0
182,Saint Kitts and Nevis,1,0
183,Dominica,1,0
184,Saint Lucia,1,0
185,Saint Vincent and the Grenadines,1,0
186,Grenada,1,0
187,Barbados,1,0
188,Trinidad and Tobago,1,0
189,Puerto Rico,1,0
190,British Virgin Islands,1,0
191,U.S. Virgin Islands,1,0
192,Anguilla,1,0
193,Montserrat Island,1,0
194,Guadeloupe,1,0
195,Martinique,1,0
196,Netherlands Antilles,1,0
197,Aruba,1,0
198,Turks and Caicos Islands,1,0
199,Cayman Islands,1,0
200,Bermuda,1,0
201,Colombia,1,0
202,Venezuela,1,0
203,Guyana,1,0
204,French Guiana,1,0
205,Suriname,1,0
206,Ecuador,1,0
207,Peru,1,0
208,Bolivia,1,0
209,Brazil,1,0
210,Chile,1,0
211,Argentina,1,0
212,Uruguay,1,0
213,Paraguay,1,0
214,Bosnia and Herzegovina,1,0
215,Gibraltar,1,0
216,New Caledonia,1,0
217,Wallis and Futuna Islands,1,0
218,Jersey,1,0
219,Montenegro,1,0
220,Isle of Man,1,0
221,Nigeria,1,0
222,Cameroon,1,0
223,Gabon,1,0
224,Chad,1,0
225,Republic of the Congo,1,0
226,Central African Republic,1,0
227,South Sudan,1,0
228,Equatorial Guinea,1,0
229,Mauritania,1,0
230,Democratic Republic of the Congo,1,0
231,Reunion Island,1,0
232,Greenland,1,0
233,Faroe Islands,1,0
234,Guernsey,1,0
235,Bermuda Islands,1,0
236,Saint Pierre and Miquelon,1,0
237,Saint Martin,1,0
238,Aland Islands,1,0
239,Northern Mariana Islands,1,0
240,Curaçao,1,0
241,Bonaire,1,0
242,St. Martin,1,0
243,Saint Barthelemy,1,0
244,Falkland Islands,1,0
245,Sao Tome and Principe,1,0
246,British Indian Ocean Territory,1,0
247,Eastern Samoa,1,0
248,Norfolk Island,1,0
110000,Beijing,2,1
120000,Tianjin,2,1
130000,Hebei Province,2,1
140000,Shanxi Province,2,1
150000,Inner Mongolia Autonomous Region,2,1
210000,Liaoning Province,2,1
220000,Jilin Province,2,1
230000,Heilongjiang Province,2,1
310000,Shanghai,2,1
320000,Jiangsu Province,2,1
330000,Zhejiang Province,2,1
340000,Anhui Province,2,1
350000,Fujian Province,2,1
360000,Jiangxi Province,2,1
370000,Shandong Province,2,1
410000,Henan Province,2,1
420000,Hubei Province,2,1
430000,Hunan Province,2,1
440000,Guangdong Province,2,1
450000,Guangxi Zhuang Autonomous Region,2,1
460000,Hainan Province,2,1
500000,Chongqing,2,1
510000,Sichuan Province,2,1
520000,Guizhou Province,2,1
530000,Yunnan Province,2,1
540000,Tibet Autonomous Region,2,1
610000,Shaanxi Province,2,1
620000,Gansu Province,2,1
630000,Qinghai Province,2,1
640000,Ningxia Hui Autonomous Region,2,1
650000,Xinjiang Uyghur Autonomous Region,2,1
110100,Beijing City,3,110000
120100,Tianjin City,3,120000
130100,Shijiazhuang City,3,130000
130200,Tangshan City,3,130000
130300,Qinhuangdao City,3,130000
130400,Handan City,3,130000
130500,Xingtai City,3,130000
130600,Baoding City,3,130000
130700,Zhangjiakou City,3,130000
130800,Chengde City,3,130000
130900,Cangzhou City,3,130000
131000,Langfang City,3,130000
131100,Hengshui City,3,130000
140100,Taiyuan City,3,140000
140200,Datong City,3,140000
140300,Yangquan City,3,140000
140400,Changzhi City,3,140000
140500,Jincheng City,3,140000
140600,Shuozhou City,3,140000
140700,Jinzhong City,3,140000
140800,Yuncheng City,3,140000
140900,Xinzhou City,3,140000
141000,Linfen City,3,140000
141100,Lüliang City,3,140000
150100,Hohhot City,3,150000
150200,Baotou City,3,150000
150300,Wuhai City,3,150000
150400,Chifeng City,3,150000
150500,Tongliao City,3,150000
150600,Ordos City,3,150000
150700,Hulunbuir City,3,150000
150800,Bayannur City,3,150000
150900,Ulanqab City,3,150000
152200,Xing'an League,3,150000
152500,Xilinguole League,3,150000
152900,Alxa League,3,150000
210100,Shenyang City,3,210000
210200,Dalian City,3,210000
210300,Anshan City,3,210000
210400,Fushun City,3,210000
210500,Benxi City,3,210000
210600,Dandong City,3,210000
210700,Jinzhou City,3,210000
210800,Yingkou City,3,210000
210900,Fuxin City,3,210000
211000,Liaoyang City,3,210000
211100,Panjin City,3,210000
211200,Tieling City,3,210000
211300,Chaoyang City,3,210000
211400,Huludao City,3,210000
220100,Changchun City,3,220000
220200,Jilin City,3,220000
220300,Siping City,3,220000
220400,Liaoyuan City,3,220000
220500,Tonghua City,3,220000
220600,Baishan City,3,220000
220700,Songyuan City,3,220000
220800,Baicheng City,3,220000
222400,Yanbian Korean Autonomous Prefecture,3,220000
230100,Harbin,3,230000
230200,Qiqihar City,3,230000
230300,Jixi City,3,230000
230400,Hegang City,3,230000
230500,Shuangyashan City,3,230000
230600,Daqing City,3,230000
230700,Yichun City,3,230000
